990901  3o 4+ 4+ 3o  4- 3o 3o 3o   27+     20 1.0
990902  3+ 3- 3- 2-  2- 2o 2o 1o   17o Q8A  9 0.5
990903  1+ 3+ 4o 4-  3+ 3o 1o 2+   22o     15 0.8
990904  2+ 3+ 3+ 3-  2o 3- 2o 2o   20+     11 0.6
990905  2- 3o 1o 1+  1+ 1- 1o 2-   12- Q4K  6 0.3
990906  1o 1o 2- 1+  1- 2- 2o 2o   11+ Q3   5 0.2
990907  2- 2- 3+ 4o  3- 3- 4o 4+   24+     18 1.0
990908  3o 1o 1o 1+  2+ 3o 1o 3-   15+ Q5A  8 0.5
990909  3- 2o 2o 2-  4- 2- 2- 1o   16+ Q7A  9 0.5
990910  2+ 3o 3+ 3o  4- 2+ 3+ 3+   24+     16 0.9
990911  4o 4- 2- 2-  2- 1o 1o 1+   16o Q9A 10 0.6
990912  3- 3+ 2o 5o  3o 4- 6o 5o   31- D5  31 1.3
990913  6- 6o 5- 4+  4+ 5o 5o 4-   39- D1  46 1.5
990914  5- 4o 4o 4-  2+ 3+ 3- 3-   27+     21 1.1
990915  4- 4- 5o 6-  4- 3- 3o 2-   29o     27 1.2
990916  3+ 6o 5o 4+  3+ 4- 3o 3-   31+ D4  31 1.3
990917  3o 2+ 2o 2o  4o 4+ 4- 2+   24-     16 0.9
990918  1+ 3- 3- 4-  4o 4- 1o 1-   20-     13 0.8
990919  2o 3- 2- 3-  3+ 2- 2- 2o   18- Q0A  9 0.5
990920  2o 2o 2o 1+  2- 2o 3+ 2o   16+ Q6A  8 0.4
990921  2o 1o 2- 2-  3+ 2o 3+ 4-   19-     11 0.6
990922  3o 2o 2o 3-  5o 4- 6o 8o   32+ D2  50 1.6
990923  6+ 6o 3+ 1+  1o 2o 2o 2o   24o     28 1.2
990924  1+ 2o 1+ 1o  1o 2- 0+ 1+   10o Q2   5 0.2
990925  1+ 1- 0+ 1o  1o 1o 1- 1-    7- Q1   4 0.1
990926  0o 0o 1- 1o  2o 5o 5- 5+   19-     20 1.0
990927  4+ 4+ 5- 4+  5o 6- 5+ 5-   38+ D3  43 1.5
990928  4+ 4- 5- 2+  4o 4o 3+ 5-   31o     27 1.2
990929  4+ 4+ 5- 3+  3- 3+ 3o 4+   30o     25 1.2
990930  5- 5+ 4o 4+  3+ 3- 3o 2+   30-     26 1.2
9909                                  Mean 19 0.86

9909 Q 25  24   6   5K  8A 20A  9A  2A 11A 19A
9909 D 13  22  27  16  12 
